iter	RMSE
0	1808944.759
1	1751169.399
2	1694995.307
3	1644216.189
4	1599225.791
5	1556045.287
6	1516233.663
7	1477017.312
8	1440824.208
9	1408285.639
10	1376944.934
11	1347893.567
12	1322325.47
13	1297672.526
14	1275390.103
15	1255963.494
16	1236603.126
17	1218525.134
18	1200464.33
19	1184484.547
20	1169928.582
21	1156999.605
22	1145051.217
23	1133052.878
24	1122016.909
25	1112095.321
26	1102165.475
27	1092704.404
28	1084233.669
29	1076631.718
30	1068877.254
31	1062897.437
32	1060824.307
33	1055020.871
34	1053358.209
35	1048162.218
36	1041843.342
37	1040218.021
38	1035646.25
39	1030851.836
40	1026577.014
41	1025341.207
42	1023421.278
43	1021741.95
44	1016817.304
45	1012350.406
46	1008709.329
47	1004872.349
48	1003754.943
49	1002778.992
50	1001607.655
51	1000447.118
52	998194.3077
53	997312.7742
54	996381.5472
55	992792.1912
56	991758.7741
57	989185.0262
58	987840.7359
59	984487.1198
60	982949.7033
61	980407.6962
62	977558.0325
63	976022.5108
64	973574.581
65	972795.9316
66	969335.6678
67	967005.377
68	965813.7898
69	963867.8191
70	962104.1531
71	959347.9384
72	958197.1543
73	955033.3511
74	953187.6051
75	952094.2486
76	950888.1273
77	950248.5402
78	949166.7071
79	947047.9062
80	945361.6164
81	944408.3467
82	943438.6836
83	942699.7847
84	941252.7767
85	940302.0452
86	939666.1737
87	936865.5156
88	936065.0473
89	934525.8406
90	933276.7709
91	931079.1159
92	930148.1902
93	928958.4862
94	928245.9191
95	927418.9164
96	926478.3418
97	925727.2853
98	923312.8977
99	920790.9527
100	920031.1446
101	919089.127
102	918234.3847
103	916017.7245
104	914480.6693
105	912374.5945
106	910837.0741
107	909654.0524
108	908388.404
109	907865.886
110	906974.1822
111	906471.8117
112	905770.4917
113	904366.3682
114	902591.5591
115	901869.2142
116	900305.3039
117	898341.9889
118	897757.9085
119	897132.7703
120	896559.0018
121	895358.5561
122	894892.2852
123	893278.5595
124	892634.4847
125	891135.1283
126	889130.8667
127	888037.8782
128	887594.1416
129	886178.6672
130	884506.0693
131	883684.2197
132	883053.5215
133	882168.9488
134	881544.0016
135	880940.4106
136	880019.5957
137	879134.7239
138	878636.1289
139	877626.6209
140	876973.8812
141	876361.7034
142	875227.448
143	874153.8238
144	872646.1572
145	871449.49
146	870999.5899
147	870472.5033
148	869835.1578
149	869087.3378
150	868518.1557
151	867343.6128
152	866202.9598
153	865558.0485
154	864595.9198
155	863745.5891
156	862664.6852
157	862034.9703
158	861475.1067
159	860612.0929
160	859619.8641
161	858437.4217
162	857767.379
163	857269.2374
164	856556.6505
165	855920.7605
166	855059.866
167	854561.6026
168	854098.3288
169	853534.646
170	852258.1209
171	851817.8335
172	850510.232
173	850048.8334
174	848172.1812
175	847455.2608
176	847009.3132
177	846548.3084
178	845347.2917
179	844350.9841
180	843772.9862
181	842700.4811
182	842257.9469
183	841598.2761
184	840642.5651
185	839884.522
186	839417.5229
187	838969.488
188	838387.9185
189	837985.0813
190	837576.7288
191	836802.5772
192	836082.1876
193	835677.6643
194	835276.5823
195	833857.045
196	833245.7412
197	832854.535
198	831777.3449
199	831205.4237
200	830485.7153
201	830100.2691
202	829152.7059
203	828771.6469
204	828001.9259
205	827203.5267
206	826814.8753
207	826436.8617
208	826062.492
209	825421.8272
210	824508.2839
211	823935.5964
212	823572.027
213	822973.4375
